orgnr,current_homepage,new_homepage,current_email,new_email,source_homepage,source_email
5569157281,,https://stalov.se/,,ulf.tjader@stalov.se,company_website_discovery.website_url,company_contact.emails_json
5562221746,,https://lsab.se/,,,company_website_discovery.website_url,
5567258362,,https://www.atea.se/,,,company_website_discovery.website_url,
5567107379,,https://bogelack.se/,,,company_website_discovery.website_url,
5594516717,,https://www.hoganasenergi.se,,,company_website_discovery.website_url,
5568743727,,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery.website_url,company_contact.emails_json
5568964224,,https://www.eurofins.se/tjaenster/inomhusmiljoe-eurofins-pegasuslab/,,,company_website_discovery.website_url,
5566162177,,https://brantheim.se/,,info@brantheim.se,company_website_discovery.website_url,company_contact.emails_json
5563477560,,https://metalcolour.com/,,,company_website_discovery.website_url,
5567501522,,https://www.exista.se/,,info@exista.se,company_website_discovery.website_url,company_contact.emails_json
5562115369,,https://janssonemballage.se/,,,company_website_discovery.website_url,
5562667948,,https://npb.se/,,fredrik.dahl-klarqvist@npb.se,company_website_discovery.website_url,company_contact.emails_json
5560577776,,https://www.figmetall.se,,daniel.hoof@figmetall.se,company_website_discovery.website_url,company_contact.emails_json
5564115045,,https://smsab.se/,,,company_website_discovery.website_url,
5564208006,,https://respondagroup.se/,,info@respondagroup.com,company_website_discovery.website_url,company_contact.emails_json
5564108198,,https://www.arcoma.com/,,,company_website_discovery.website_url,
5562145713,,https://www.europrofil.se/sv,,info@europrofil.se,company_website_discovery.website_url,company_contact.emails_json
5564861747,,https://www.blekingeproal.com/,,mm@bpg-ab.com,company_website_discovery.website_url,company_contact.emails_json
5569119992,,https://goobit.se/,,info@goobit.se,company_website_discovery.website_url,company_contact.emails_json
5569065641,,https://www.nexiko.com/,,invoice@nexiko.com,company_website_discovery.website_url,company_contact.emails_json
5566055298,,https://www.brummer.se/sv/om-oss/partners/bp-fund-services/,,info@brummer.se,company_website_discovery.website_url,company_contact.emails_json
5563507010,,https://sancoab.se/,,nicklas.bostrom@sancoab.se,company_website_discovery.website_url,company_contact.emails_json
5566305339,,https://www.verkstadsbolaget.se/,,,company_website_discovery.website_url,
5566725445,,https://mintecpaper.se/,,,company_website_discovery.website_url,
5564139268,,https://www.malmberg.se/en/what-we-do/energy-solutions/,,,company_website_discovery.website_url,
5566208707,,https://www.automatsvarvning.net/sv/,,fredrik.haggman@atorp.se,company_website_discovery.website_url,company_contact.emails_json
5566422753,,https://bjorseredsemballage.se/,,info@bjorseredsemballage.se,company_website_discovery.website_url,company_contact.emails_json
5563430429,,https://platsmide.se/,,erik@platsmide.se,company_website_discovery.website_url,company_contact.emails_json
5566131792,,https://jarvatolk.se/,,,company_website_discovery.website_url,
5591369110,,https://antraciten.se/,,dittnamn@antraciten.se,company_website_discovery.website_url,company_contact.emails_json
5560940800,,https://www.gmkab.com/koncernen/1--ronnquist-wettainen-ab,,fbn@pdf.scancloud.se,company_website_discovery.website_url,company_contact.emails_json
5562255090,,https://www.huhnseal.com/,,sales@huhnseal.com,company_website_discovery.website_url,company_contact.emails_json
5565937967,,https://lesjofors.eu/en-gb,,,company_website_discovery.website_url,
5567322994,,https://www.crispopaper.se/,,info@crispopaper.se,company_website_discovery.website_url,company_contact.emails_json
5593426991,,https://svalson.com/,,,company_website_discovery.website_url,
5562864685,,http://www.krp.se,,order@krp.se,company_website_discovery.website_url,company_contact.emails_json
5568937634,,https://willards.se/,,info@willards.se,company_website_discovery.website_url,company_contact.emails_json
5591910657,,https://www.rosenqvists.com/,,,company_website_discovery.website_url,
5591742688,,https://www.bonnier.com/,,info@adlibris.com,company_website_discovery.website_url,company_contact.emails_json
5567690390,,http://jeven.se,,fornamn.efternamn@jeven.se,company_website_discovery.website_url,company_contact.emails_json
5563138378,,https://www.protab.se/,,info@protab.se,company_website_discovery.website_url,company_contact.emails_json
5565356317,,https://www.getinge.com/se/,,,company_website_discovery.website_url,
5566409768,,https://tre-d.se/,,info@tre-d.se,company_website_discovery.website_url,company_contact.emails_json
5565045696,,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery.website_url,company_contact.emails_json
5561282251,,https://www.hsfgroup.com/,,info@hsfgroup.com,company_website_discovery.website_url,company_contact.emails_json
5560514787,,https://finnebacks.se/,,fredric@finnebacks.se,company_website_discovery.website_url,company_contact.emails_json
5591591671,,https://b2b.koncern.eu/,,,company_website_discovery.website_url,
5560028796,,https://www.bonniernews.se/,,press@bonniernews.se,company_website_discovery.website_url,company_contact.emails_json
