orgnr,current_homepage,new_homepage,raw_url,current_email,new_email,source_table,source_column
5562894740,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5564108198,,https://www.arcoma.com,https://www.arcoma.com/,,,company_website_discovery,website_url
5563012425,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,,company_website_discovery,website_url
5561089284,,https://hpm.se,https://hpm.se/,,o.hermansson@hammarplast.se,company_website_discovery;company_contact,website_url;emails_json
5568873128,,https://boggs.se,https://boggs.se/,,ulf.kajgard@boggs.se,company_website_discovery;company_contact,website_url;emails_json
5562065267,,https://www.saybolt.se,https://www.saybolt.se/,,,company_website_discovery,website_url
5561283549,,https://www.sbs-ab.se,https://www.sbs-ab.se/,,,company_website_discovery,website_url
5565166021,,https://www.everysport.com,https://www.everysport.com/,,,company_website_discovery,website_url
5566509286,,https://www.ttmenergi.se,https://www.ttmenergi.se/,,,company_website_discovery,website_url
5566954532,,https://www.munters.com,https://www.munters.com/sv-se/,,,company_website_discovery,website_url
5565737482,,https://kfpinvest.com,https://kfpinvest.com/,,podcast@kfpinvest.com,company_website_discovery;company_contact,website_url;emails_json
5561905729,,https://fumex.se,https://fumex.se/,,,company_website_discovery,website_url
5562818467,,https://cabinova.se,https://cabinova.se/,,kalle.soderlund@cabinova.se,company_website_discovery;company_contact,website_url;emails_json
5563407724,,https://www.pulverlackhedesunda.se,https://www.pulverlackhedesunda.se/,,rikard@pulverlackhedesunda.se,company_website_discovery;company_contact,website_url;emails_json
5564637667,,https://www.tielman.com,https://www.tielman.com/,,neha@tielman.com,company_website_discovery;company_contact,website_url;emails_json
5566925763,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5564208006,,https://respondagroup.se,https://respondagroup.se/,,info@respondagroup.com,company_website_discovery;company_contact,website_url;emails_json
5591610695,,https://www.swedboard.se,https://www.swedboard.se/,,contact@swedboard.se,company_website_discovery;company_contact,website_url;emails_json
5567904189,,https://www.4finance.com,https://www.4finance.com/,,info@4finance.com,company_website_discovery;company_contact,website_url;emails_json
5569141913,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5568245806,,https://martinanderson.com,https://martinanderson.com/,,,company_website_discovery,website_url
5567319453,,https://www.wallenstam.se,https://www.wallenstam.se/,,daniel.peterson@wallenstam.se,company_website_discovery;company_contact,website_url;emails_json
5566150214,,https://fobeproduktion.com,https://fobeproduktion.com/,,,company_website_discovery,website_url
5591852644,,https://nilsson.se,https://nilsson.se/,,,company_website_discovery,website_url
5566757810,,https://talentech.com,https://talentech.com/,,,company_website_discovery,website_url
5564798733,,https://omnibuy.eu,https://omnibuy.eu/,,,company_website_discovery,website_url
5568972581,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5569518847,,https://production.se,https://production.se/,,,company_website_discovery,website_url
5592781628,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5564361441,,https://www.ages.se,https://www.ages.se/,,,company_website_discovery,website_url
5567615561,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5560709981,,https://eagruppen.se,https://eagruppen.se/,,info@eagruppen.se,company_website_discovery;company_contact,website_url;emails_json
5567482368,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5565274767,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5565475695,,https://aluwave.com,https://aluwave.com/,,info@aluwave.com,company_website_discovery;company_contact,website_url;emails_json
5561968552,,https://jansson-industri.se,https://jansson-industri.se/,,,company_website_discovery,website_url
5591191381,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,,company_website_discovery,website_url
5563825198,,https://www.leab.se,https://www.leab.se/,,ulf.lundstrom@leab.se,company_website_discovery;company_contact,website_url;emails_json
5564717717,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5567592521,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5563703064,,https://primab.se,https://primab.se/,,per@primab.se,company_website_discovery;company_contact,website_url;emails_json
5568127558,,https://addvanze.com,https://addvanze.com/sv/,,info@addvanze.com,company_website_discovery;company_contact,website_url;emails_json
5565067724,,https://www.anvaksg.se,https://www.anvaksg.se/,,,company_website_discovery,website_url
5564660214,,https://assalub.com,https://assalub.com/,,,company_website_discovery,website_url
5594081852,,https://ystadenergi.se,https://ystadenergi.se/,,ystadenergi@ystad.se,company_website_discovery;company_contact,website_url;emails_json
5564764396,,https://agrus.se,https://agrus.se/,,,company_website_discovery,website_url
5566203682,,https://3buttongroup.com,https://3buttongroup.com/,,,company_website_discovery,website_url
5592951437,,https://cars2click.com,https://cars2click.com/,,info@cars2click.com,company_website_discovery;company_contact,website_url;emails_json
5565267001,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5562096254,,https://www.comstedt.se,https://www.comstedt.se/,,,company_website_discovery,website_url
5568459399,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5560210303,,https://uip.se,https://uip.se/,,eva_marklund-simmo@uip.se,company_website_discovery;company_contact,website_url;emails_json
5564107794,,https://www.mgsmfg.com,https://www.mgsmfg.com/global-locations/mgs-anderstorp/,,,company_website_discovery,website_url
5564502283,,https://steensmek.se,https://steensmek.se/,,,company_website_discovery,website_url
5565014288,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,,company_website_discovery,website_url
5565091096,,https://kpro.se,https://kpro.se/,,anders.jegeros@kpro.se,company_website_discovery;company_contact,website_url;emails_json
5561740845,,https://www.gonvarristalteknik.se,https://www.gonvarristalteknik.se/,,,company_website_discovery,website_url
5560876137,,https://www.silvent.com,https://www.silvent.com/sv/,,,company_website_discovery,website_url
5561130443,,https://grythyttanstalmobler.com,https://grythyttanstalmobler.com/,,jonas.brandin@grythyttanstalmobler.com,company_website_discovery;company_contact,website_url;emails_json
5562572551,,https://www.inission.com,https://www.inission.com/,,,company_website_discovery,website_url
5561703371,,https://ekets.se,https://ekets.se/,,info@ekets.se,company_website_discovery;company_contact,website_url;emails_json
5565647293,,https://ecomponent.se,https://ecomponent.se/,,info@ecomponent.se,company_website_discovery;company_contact,website_url;emails_json
5568008295,,https://www.abcstal.se,https://www.abcstal.se/,,info@abcstal.se,company_website_discovery;company_contact,website_url;emails_json
5569180085,,https://sunhammer.se,https://sunhammer.se/,,,company_website_discovery,website_url
5568296866,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
5591742639,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,,company_website_discovery,website_url
5565540514,,https://dack.com,https://dack.com/,,,company_website_discovery,website_url
5562627108,,https://www.hallsbergs-smide.se,https://www.hallsbergs-smide.se/,,,company_website_discovery,website_url
5565220752,,http://www.wtab.se,http://www.wtab.se,,info@wtab.se,company_website_discovery;company_contact,website_url;emails_json
5568586290,,https://rosholmdell.se,https://rosholmdell.se/,,,company_website_discovery,website_url
5565094587,,https://www.molndalenergi.se,https://www.molndalenergi.se/privat,,,company_website_discovery,website_url
5564421484,,https://b2b.koncern.eu,https://b2b.koncern.eu/,,info@koncern.si,company_website_discovery;company_contact,website_url;emails_json
